News#,Title,Matched Words,Score,Polarity
297,"GENERAL ELECTRIC &lt;GE> SELLS RIGHTS TO TECHNIQUE","none",0,Neutral
298,"CPC &lt;CPC> EXPECTS EUROPEAN SALE TO CUT DEBT","debt(-)",-1,Negative
299,"BANK OF ENGLAND DRAINS MONEY MARKET LIQUIDITY","drains(-)",-1,Negative
300,"H.K. OFFICIAL DEFENDS NON-PROSECUTION OF BOND","none",0,Neutral
301,"VICORP RESTAURANTS INC &lt;VRES> 1ST QTR FEB 15 NET","none",0,Neutral
302,"COMMERZBANK TO ACQUIRE AND FLOAT LINOTYPE","none",0,Neutral
303,"VICORP &lt;VRES> ENDS SALE/LEASEBACK DEAL","none",0,Neutral
304,"EC EXPORT LICENCES FOR 59,000 TONNES WHITE  SUGAR AT REBATE 45.678 ECUS - FRENCH TRADERS","none",0,Neutral
305,"U.K. INTERVENTION BOARD DETAILS EC SUGAR SALES","none",0,Neutral
306,"PIONEER-STANDARD ELECTRONICS INC &lt;PIOS> PAYOUT","none",0,Neutral
307,"AMSTERDAM EXCHANGE ANNOUNCES MODERNISATION DRIVE","none",0,Neutral
308,"HOUSE WAYS AND MEANS CMTE FINISHES WORK ON BILL TO TOUGHEN TRADE LAWS","work(+)",1,Positive
309,"CHEROKEE GROUP &lt;CHKE> FILES TO OFFER SHARES","none",0,Neutral
310,"SOUTH AFRICA PROBLEMS REMAIN DESPITE DEBT PACT","debt(-) | problems(-)",-2,Negative
311,"FABRI-CENTERS &lt;FCA> 4TH QTR ENDS JAN 31 NET","none",0,Neutral
312,"TSENG LABORATORIES INC &lt;TSNG> 4TH QTR NET","none",0,Neutral
313,"PARK ELECTROCHEMICAL CORP &lt;PKE> SETS PAYOUT","none",0,Neutral
314,"BRAZIL SEAMEN SAY STRIKE NEAR END","strike(-)",-1,Negative
315,"KEY U.S. HOUSE PANEL FINISHES MAJOR TRADE BILL","none",0,Neutral
316,"RUSS TOGS INC &lt;RTS> 4TH QTR JAN 31 NET","none",0,Neutral
317,"JOHNSTOWN AMERICAN COS &lt;JAC> 2ND QTR FEB 28 NET","none",0,Neutral
318,"EASCO OFFERS INITIAL SALE OF SECURITIES","none",0,Neutral
319,"KEIHIN ELECTRIC EXPRESS ISSUES 150 MLN DLR BOND","issues(-)",-1,Negative
320,"BRISTOL AND WEST BUILDING SOCIETY ISSUES CDS","issues(-)",-1,Negative
321,"WOOLWICH BUILDING SOCIETY ISSUING 50 MLN STG BOND","none",0,Neutral
322,"ITT &lt;ITT>  UNIT FILES FOR PREFERRED STOCK SALE","none",0,Neutral
323,"CPC EXPECTS EUROPEAN SALE TO CUT DEBT","debt(-)",-1,Negative
324,"THERMO PROCESS &lt;TPSI> ACQUISITION TERMINATED","none",0,Neutral
325,"CHRYSLER FINANCE ISSUING STERLING EUROBOND","none",0,Neutral
326,"NORANDA RAISES PRIMARY ALUMINUM PRICES","none",0,Neutral
327,"SOVIET PAPER DETAILS GEORGIAN FLOOD DAMAGE","damage(-)",-1,Negative
328,"UTILICORP &lt;UCU> SEES HIGHER 1987 FIRST QUARTER","none",0,Neutral
329,"&lt;XYLOGICS INC> INITIAL OFFERING UNDERWAY","none",0,Neutral
330,"TSENG &lt;TSNG> SEES SALES INCREASE FIRST QTR 1987","none",0,Neutral
331,"MINNTECH &lt;MNTX> GETS MORE CASH FOR DEVELOPMENT","none",0,Neutral
332,"STOCKHOLDER SYSTEMS &lt;SSIAA> MAKES ACQUISITION","none",0,Neutral
333,"CONCEPT INC &lt;CCPT> 2ND QTR FEB 28 NET","none",0,Neutral
334,"LIFE OF INDIANA CORP &lt;LIFI> 4TH QTR LOSS","loss(-)",-1,Negative
335,"B.F. SAUL REAL ESTATE INVESTMENT &lt;BFS> PAYOUT","none",0,Neutral
336,"SOUTH AFRICA PROBLEMS REMAIN DESPITE DEBT PACT","debt(-) | problems(-)",-2,Negative
337,"MAYTAG &lt;MYG> SEES CAPITAL SPENDING UP IN 1987","none",0,Neutral
338,"TRAVELERS &lt;TIC> UNIT TO BUY REALTY DIVISIONS","none",0,Neutral
339,"COMMUNICATIONS AND CABLE INC &lt;CCAB> 1ST QTR NET","none",0,Neutral
340,"BEN EQUITY HOLDINGS &lt;BH> SUSPENDED ON NYSE","none",0,Neutral
341,"ESCAGEN CORP &lt;ESN> INITIAL OFFERING STARTS","none",0,Neutral
342,"BRISTOL-MYERS &lt;BMY> FILES AIDS VACCINE WITH FDA","none",0,Neutral
343,"DALLAS INVESTOR CUTS STAKE IN MCDERMOTT (MDR)","none",0,Neutral
344,"FED ADOPTS REDEPOSIT SERVICE FOR BOUNCED CHECKS","none",0,Neutral
345,"INTN'L PLATINUM, DEGUSSA IN JOINT VENTURE TALKS","none",0,Neutral
346,"WESTWOOD ONE INC &lt;WONE> 1ST QWTR FEB 28 NET","none",0,Neutral
347,"REAGAN OPPOSES NEW TAXES, SEEKS BUDGET","none",0,Neutral
348,"IRAN SAYS HAS BETTER WEAPONS THAN SILKWORM","better(+)",1,Positive
349,"EC COMMISSION DETAILS SUGAR TENDER","tender(+)",1,Positive
350,"INLAND STEEL &lt;IAD> PREFERRED OFFERED","none",0,Neutral
351,"ADVANCED MICRO &lt;AMD> PREFERRED OFFERED","advanced(+)",1,Positive
352,"TRICENTROL TO CONCENTRATE ON PROVEN RESERVES","proven(+)",1,Positive
353,"ROLLS-ROYCE SIGNS NEW ENGINE DEAL WITH BOEING","none",0,Neutral
354,"BROOKLYN UNION GAS CO &lt;BU> SETS PAYOUT","none",0,Neutral
355,"UNISYS &lt;UIS> INTRODUCES NEW PRODUCTS","none",0,Neutral
356,"ARGENTINE PORT WORKERS TAKE INDUSTRIAL ACTION","none",0,Neutral
357,"NOVAMIN SAYS IT RECEIVED PROPOSED TAKEOVER BID FROM BREAKWATER","none",0,Neutral
358,"NYFE SEAT SELLS FOR 200 DLRS","none",0,Neutral
359,"NEC CORP HAS 150 MLN DLR EURO-CP PROGRAM","none",0,Neutral
360,"FRANCE SETS FOUR BILLION FRANC T-BILL TENDER","tender(+)",1,Positive
361,"FED EXPECTED TO ADD RESERVES IN MARKET","none",0,Neutral
362,"INDIA REPORTED BUYING TWO WHITE SUGAR CARGOES","none",0,Neutral
363,"NOVAMIN IN PROPOSED BUYOUT BY BREAWATER &lt;BWRLF>","none",0,Neutral
364,"LILLY INDUSTRIAL COATINGS INC &lt;LICIA> 1ST QTR","none",0,Neutral
365,"COMMONWEALTY REALTY &lt;CRTYZ>, BAY &lt;BAY> END TALKS","none",0,Neutral
366,"MET-PRO CORP &lt;MPR> 4TH QTR ENDS JAN 31 NET","none",0,Neutral
367,"EDO &lt;EDO> TO BUY BACK ADDITIONAL 500,000 SHARES","none",0,Neutral
368,"VISTA &lt;VISA> FORMS OFFICE OF THE PRESIDENT","none",0,Neutral
369,"CENTRAL MAINE POWER CO &lt;CTP> SETS QUARTERLY","none",0,Neutral
370,"SOME FIRMS CURB COMMODITIES BUSINESS WITH DREXEL","none",0,Neutral
371,"PEP BOYS &lt;PBY> SETS SPLIT, RAISES QUARTERLY","split(-) | pep(+)",0,Neutral
372,"PEP BOYS - MANNY, MOE AND JACK INC &lt;PBY> 4TH QTR","pep(+)",1,Positive
373,"HOVNANIAN ENTERPRISES &lt;HOV> EARNINGS TO RISE","none",0,Neutral
374,"NY TRADERS SAY TURKEY MADE LARGE SUGAR PURCHASE","none",0,Neutral
375,"NORFOLK &lt;NSC> UNIT SELLS EQUIPMENT CERTIFICATES","none",0,Neutral
376,"ANHEUSER-BUSCH &lt;BUD> OFFICER RESIGNS","none",0,Neutral
377,"JOHNSON SAYS FED'S ACTIONS YESTERDAY MEANT TO STABILIZE DOLLAR AT CURRENT LEVELS","stabilize(+)",1,Positive
378,"SUNSTAR FOODS INC &lt;SUNF> 2ND QTR FEB 28 NET","none",0,Neutral
379,"PHOENIX RE &lt;PXRE> INITIAL OFFERING UNDER WAY","none",0,Neutral
380,"NIPPON SIGNAL TO ISSUE 50 MLN SWISS FRANC NOTES","issue(-)",-1,Negative
381,"HADSON &lt;HADS> TO ACQUIRE 85 PCT OF SEAXE &lt;SEAX>","none",0,Neutral
382,"REUTERS TO BUY I P SHARP OF CANADA","sharp(+)",1,Positive
383,"TCBY ENTERPRISES &lt;TCBY> SPLITS STOCK","none",0,Neutral
384,"FIRST INTERSTATE &lt;I> SELLS CAPITAL NOTES","none",0,Neutral
385,"RAYTHEON CO &lt;RTN> SETS QUARTERLY","none",0,Neutral
386,"FIAT MAY ISSUE BOND FOR LIBYAN STAKE, PAPER SAYS","issue(-)",-1,Negative
387,"ITALY'S STET FORMS TELECOMMUNICATIONS FIRM","none",0,Neutral
388,"P.H. GLATFELTER CO &lt;GLP> INCREASES DIVIDEND","none",0,Neutral
389,"LIFE OF INDIANA CORP &lt;LIFI> 4TH QTR LOSS","loss(-)",-1,Negative
390,"(CORRECTED) - TSENG &lt;TSNG> SEES SALES INCREASE","none",0,Neutral
391,"BRAZILIAN BANK STRIKE SPREADS, UNION SAYS","strike(-)",-1,Negative
392,"CONSOLIDATED NOREX TO ACQUIRE TRIWEB RESOURCES","none",0,Neutral
393,"THAI SUGAR PRODUCTION CONTINUES HIGH IN FEB","none",0,Neutral
394,"SWEDISH EXPORT CREDIT ISSUES NEW ZEALAND DLR BOND","issues(-)",-1,Negative
395,"APOLLO COMPUTER &lt;APCI> IN JOINT MARKETING PACT","none",0,Neutral
396,"ACCUGRAPH IN ASIA MARKETING PACT WITH TRIO-TECH","none",0,Neutral
397,"REICHHOLD CHEMICALS INC EXPLORING POSSIBLE SALE OF EUROPEAN SUBSIDIARY","none",0,Neutral
398,"NY TRADERS EXPECT CHINA TO STEP UP SUGAR BUYING","none",0,Neutral
399,"ROSS STORES INC &lt;ROST> 4TH QTR JAN 31 LOSS","loss(-)",-1,Negative
400,"ITALIAN TREASURY BILL OFFER HAS MIXED RESPONSE","none",0,Neutral
401,"AFG &lt;AFG> EXPANDS INTO AUTO GLASS REPLACEMENT","none",0,Neutral
402,"GREENWOOD RESOURCES SAYS BANKS COULD FORECLOSE","none",0,Neutral
403,"NAVISTAR &lt;NAV> STILL EXPECTS HIGHER 1987 NET","none",0,Neutral
404,"HEES INTERNATIONAL SETS 100 MLN DLR SHARE ISSUE","issue(-)",-1,Negative
405,"CORRECTED-LILLY INDUSTRIAL COATINGS INC &lt;LICIA>","none",0,Neutral
406,"U.S. SENATE PANEL APPROVES TRADE MISSION BILL","none",0,Neutral
407,"CATERPILLAR &lt;CAT> WORKERS TOLD TO END SIT-IN","none",0,Neutral
408,"BAT SHARES UNDERVALUED, SAY STOCK MARKET ANALYSTS","none",0,Neutral
409,"BALDRIGE SAYS U.S. WILL NOT LET JAPAN DOMINATE WORLD ELECTRONICS MARKET","dominate(+)",1,Positive
410,"REICHHOLD &lt;RCI> EXPLORING SALE OF EUROPEAN UNIT","none",0,Neutral
411,"AMERICUS TRUST FOR MERCK &lt;MRK> NOW EFFECTIVE","trust(+) | effective(+)",2,Positive
412,"UAL SAID DONALD TRUMP WAS INTERESTED IN UAL STOCK 'AS INVESTMENT'","trump(+)",1,Positive
413,"INT'L BROADCASTING &lt;IBCA> SETS REVERSE SPLIT","split(-)",-1,Negative
414,"BI INC &lt;BIAC> SETS REVERSE SPLIT","split(-)",-1,Negative
415,"BALDRIGE SAYS JAPAN MUST OPEN ITS MARKETS","none",0,Neutral
416,"K MART &lt;KM> UNIT BUYS TEXAS LAND","none",0,Neutral
417,"BASF CORP YEAR NET","none",0,Neutral
418,"TORONTO DOMINION BUYING MONTREAL EXCHANGE SEAT","none",0,Neutral
419,"LEAR SIEGLER DEPOSITS 79.4 MLN DLRS TO SECURE NOTES, EFFECTS REORGANIZATION","secure(+)",1,Positive
420,"J.A.M. &lt;JAMY> WINS 1.5 MLN DLR CONTRACT","wins(+) | jam(-)",0,Neutral
421,"UNISYS &lt;UIS> NEW MAINFRAME INTRODUCTION NOT SET","none",0,Neutral
422,"MONTANA POWER CO &lt;MTP> VOTES QUARTERLY DIVIDEND","none",0,Neutral
423,"UAL &lt;UAL> SAID TRUMP TALKED WITH UAL CHAIRMAN","trump(+)",1,Positive
424,"GROLIER &lt;GLR> DEBT UPGRADED BY MOODY'S","upgraded(+) | debt(-)",0,Neutral
425,"TEAM INC &lt;TMI> 3RD QTR FEB 28 NET","none",0,Neutral
426,"TODD SHIPYARDS CORP OMITS QTLY COMMON DIV, SETS PREFERRED PAYOUT","none",0,Neutral
427,"RSI CORP &lt;RSIC> 2ND QTR FEB 28 NET","none",0,Neutral
428,"RCM TECHNOLOGIES INC &lt;RCMT> 1ST QTR JAN 31 LOSS","loss(-)",-1,Negative
429,"MCCLAIN INDUSTRIES INC &lt;MCCL> 1ST QTR DEC 31 NET","none",0,Neutral
430,"FED OFFERS TO BUY ONE BILLION DLRS OF BILLS FOR CUSTOMER, AFTER NOTE AUCTION","none",0,Neutral
431,"SYNALLOY &lt;SYO> ENDS PLANS TO SELL UNIT","none",0,Neutral
432,"C-I-L ACQUIRING TRIMAC'S STAKE IN TRICIL","none",0,Neutral
433,"EC INFLATION STARTS TO RISE AGAIN IN FEBRUARY","none",0,Neutral
434,"PANTERA'S &lt;PANT> TO BUY TEN PIZZA RESTAURANTS","none",0,Neutral
435,"ALLIED-SIGNAL INC TO SELL LINOTYPE GROUP TO COMMERZBANK OF WEST GERMANY","none",0,Neutral
436,"ENERGY/U.S. OIL OUTPUT","none",0,Neutral
437,"TODD SHIPYARDS &lt;TOD> OMITS COMMMON DIVIDEND","none",0,Neutral
438,"IMO DELAVAL &lt;IMD> SETS INITIAL DIVIDEND","none",0,Neutral
439,"FED TO PURCHASE TREASURY BILLS FOR A CUSTOMER","none",0,Neutral
440,"GOULD &lt;GLD> INTRODUCES NEW MINI SUPERCOMPUTERS","none",0,Neutral
441,"NATIONAL COMPUTER SYSTEMS INC &lt;NLCS>4TH QTR NET","none",0,Neutral
442,"SEC SANCTIONS ACCOUNTANTS KMG MAIN HURDMAN","none",0,Neutral
443,"ALLIED-SIGNAL &lt;ALD> TO SELL LINOTYPE UNIT","none",0,Neutral
444,"CONTINENTAL HEALTH AFFILIATES INC &lt;CTHL> 4TH QTR","none",0,Neutral
445,"CANADA SETS OIL INDUSTRY AID PACKAGE","none",0,Neutral
446,"CONTINENTAL &lt;CTHL> REPURCHASES NOTES","none",0,Neutral
447,"&lt;ATLANTIS GROUP INC> TO OFFER SHARES, NOTES","none",0,Neutral
448,"MOUNTLEIGH GROUP SEEKS 100 MLN STG FACILITY","none",0,Neutral
449,"SOUTHWEST FOREST &lt;SWF> SETTLES STRIKE","strike(-)",-1,Negative
450,"COCOA TALKS SLOW AT CRUCIAL STAGE - DELEGATES","slow(-)",-1,Negative
451,"MACK TRUCKS &lt;MACK> DEBT AFFIRMED BY S/P","debt(-)",-1,Negative
452,"EURATOM ECU BOND MARKS ROME TREATY ANNIVERSARY","none",0,Neutral
453,"NEWMONT GOLD &lt;NGC> SEES GOLD SALES RISING","gold(+)",2,Positive
454,"MESSIDOR TO MERGE WITH TRITON BELEGGINGEN","none",0,Neutral
455,"IMMUNOGENETICS &lt;IGEN> TO ENTER LIPOSOME FIELD","none",0,Neutral
456,"SMITH BARNEY ANALYST CUTS HERCULES &lt;HPC> RATING","none",0,Neutral
457,"S/P UPGRADES CONSUMERS POWER'S SENIOR AND SUBORDINATED DEBT","debt(-)",-1,Negative
458,"NAVISTAR &lt;NAV> SEES HIGHER CAPITAL SPENDING","none",0,Neutral
459,"MOHAWK DATA &lt;MDS> AFFILIATE IN SERVICE DEAL","none",0,Neutral
460,"CONSUMERS POWER &lt;CMS> DEBT RAISED BY S/P","debt(-)",-1,Negative
461,"ENCOR ENERGY CORP PLANS 125 MLN DLR DEBENTURE OFFER","none",0,Neutral
462,"PACIFIC GAS &lt;PCG> SEEKS PURCHASE RULE CHANGE","none",0,Neutral
463,"ENCOR ENERGY CORP INC YR NET LOSS 406.6 MLN VS PROFIT 35.4 MLN","loss(-)",-1,Negative
464,"BRAZIL PLANS NEW ECONOMIC STRATEGY FOR GROWTH","none",0,Neutral
465,"MIDDLE SOUTH &lt;MSU> TO FORM NEW DIVIDEND POLICY","none",0,Neutral
466,"UK POLL SHOWS SURGE FOR CENTRIST ALLIANCE PARTIES","none",0,Neutral
467,"EMERSON RADIO &lt;EME> SELLS DEBT PRIVATELY","debt(-)",-1,Negative
468,"SOLAR SYSTEMS SUN DANCE &lt;SSDN> EXTENDS WARRANTS","none",0,Neutral
469,"TWA SOLD FOUR MLN SHARES OF USAIR BELIEVED TO INSTITUTIONS, WALL STREET SOURCES","none",0,Neutral
470,"U.S. SUGAR POLICY MAY SELF-DESTRUCT, CONGRESSMAN","none",0,Neutral
471,"FIAT SAYS IT NOT PLANNING TO ISSUE EUROBONDS","issue(-)",-1,Negative
472,"INVESTORS INCREASE STAKE IN FROST, SULLIVAN","frost(-)",-1,Negative
473,"LIBERIAN ORE CARRIER IN COLLISION IN RIVER ELBE","none",0,Neutral
474,"AIM TELEPHONES &lt;AIMT> SELLS DEBT TO SHAREHOLDER","debt(-)",-1,Negative
475,"HERSHEY OIL CORP &lt;HSO> 4TH QTR LOSS","loss(-)",-1,Negative
476,"&lt;VISTA MANAGEMENT INC> GETS BOND GUARANTEES","none",0,Neutral
477,"EG AND G INC &lt;EGG> SETS QUARTERLY","none",0,Neutral
478,"&lt;ENCOR ENERGY CORP INC> YEAR LOSS","loss(-)",-1,Negative
479,"BRAZILIAN LABOUR UNREST SPREADS, MANY BANKS SHUT","unrest(-)",-1,Negative
480,"OAK INDUSTRIES &lt;OAK> SETS DEBT EXCHANGE OFFER","debt(-)",-1,Negative
481,"COLLINS FOODS &lt;CF> TO REDEEM DEBENTURES","redeem(+)",1,Positive
482,"ANDREOTTI DROPS COALITION BID","none",0,Neutral
483,"TEAM &lt;TMI> TO UNVEIL NEW EQUIPMENT IN MAY","none",0,Neutral
484,"&lt;ASTA GROUP INC> UNIT IN LOAN PURCHASE","none",0,Neutral
485,"ENCOR PLANS 125 MLN DLR DEBENTURE OFFERING","none",0,Neutral
486,"ARDEN INTERNATIONAL &lt;AIKI> 4TH QTR DEC 27 NET","none",0,Neutral
487,"TWA &lt;TWA> SELLS POSITION IN USAIR &lt;U>","none",0,Neutral
488,"COMBUSTION ENGINEERING&lt;CSP> SEES 1ST QTR NET OFF","none",0,Neutral
489,"NEWMONT GOLD SEES ITS SALES RISING 22 PCT","gold(+)",1,Positive
490,"TALKING POINT/TOBACCO STOCKS","none",0,Neutral
492,"MICRO DISPLAY &lt;MDSI> GETS EUROPEAN ORDERS","none",0,Neutral
493,"TREASURY'S BAKER SAYS EXCHANGE RATE CHANGES WILL REDUCE TRADE DEFICIT THIS YEAR","none",0,Neutral
494,"TREASURY'S BAKER SAYS ECONOMIC COOPERATION PROCESS IS WORKING","none",0,Neutral
495,"TREASURY'S BAKER SAYS 'THROWING MONEY' AT DEBTOR NATIONS WON'T WORK","work(+)",1,Positive
496,"UTAH POWER &lt;UTP> PLANS TO REDEEM PREFERRED STOCK","redeem(+)",1,Positive
497,"GATEWAY SPORTING BUYS INNOVATIVE DENTAL","innovative(+)",1,Positive
498,"TREASURY'S BAKER SEES CUT IN TRADE DEFICIT","none",0,Neutral
499,"CYCLOPS CORP REFORMS BOARD AFTER DIXONS GROUP FAILS TO GET MAJORITY OF CYCLOPS STOCK","reforms(+) | fails(-)",0,Neutral
500,"UK TO RETAIN POWERS AGAINST U.S UNITARY TAXATION","none",0,Neutral
501,"TREASURY'S BAKER SAYS ECONOMIC COOPERATION WORKS","works(+)",1,Positive
502,"PAN ATLANTIC RE INC &lt;PNRE> 4TH QTR NET","pan(-)",-1,Negative
503,"QUAKER CHEMICAL CORP &lt;QCHM> SETS QUARTERLY","none",0,Neutral
504,"RAYTHEON &lt;RTN> DIRECTOR RESIGNS","none",0,Neutral
505,"MIDDLE SOUTH &lt;MSU> TO CONSIDER DIVIDEND","none",0,Neutral
506,"MONARCH CAPITAL &lt;MON> CALLS PREFERRED","none",0,Neutral
507,"CYANOTECH &lt;CYAN> SETS WAY TO EXTRACT CAROTENE","none",0,Neutral
508,"SAS TO UPGRADE CABIN SERVICE IN SCANDINAVIA","none",0,Neutral
509,"BELGIUM PLANS TO OUTLAW INSIDER TRADING","outlaw(-)",-1,Negative
510,"OWENS-CORNING FIBERGLAS &lt;OCF> SELLS FOAM UNIT","none",0,Neutral
511,"U.S. SHOE INC 4TH QTR SHR 31 CTS VS 56 CTS","none",0,Neutral
512,"U.S. TAX FRAUD CHARGES BROUGHT AGAINST THREE","fraud(-)",-1,Negative
513,"O'BRIEN ENERGY &lt;OBS> IN CITICORP &lt;CCI> LEASE","none",0,Neutral
514,"QUAKER CHEMICAL &lt;QCHM> TO REPURCHASE SHARES","none",0,Neutral
515,"TREASURY'S BAKER OUTLINES TRADE BILL CRITICISMS","criticisms(-)",-1,Negative
517,"CASINO COMMISSION DELAYS VOTE ON HOLIDAY &lt;HIA>","delays(-)",-1,Negative
518,"WORTHERN BANKING &lt;WOR> IN AGREEMENT WITH FEDS","none",0,Neutral
519,"U.S. SHOE CORP &lt;USR> 4TH QTR JAN 31 NET","none",0,Neutral
520,"NUTMEG INDUSTRIES &lt;NUTM> SETS LICENSING PACT","none",0,Neutral
521,"ARGENTINE SOYBEAN YIELD ESTIMATES DOWN FURTHER","none",0,Neutral
522,"BETA PHASE &lt;BETA> TO SELL EYEGLASS TECHNOLOGY","none",0,Neutral
523,"LYNG SAYS AGRICULTURE SHOULD SHARE SPENDING CUTS","none",0,Neutral
524,"TREASURY'S BAKER SAYS NEW MONEY NOT PANACEA","none",0,Neutral
525,"VERTEX INDUSTRIES INC &lt;VETX> 2ND QTR JAN 31 NET","none",0,Neutral
526,"CYCLOPS &lt;CYL> SAYS DIXONS APPOINTEES RESIGN","none",0,Neutral
527,"ECUADOR NEGOTIATES WITH NIGERIA FOR LENDING OIL","none",0,Neutral
528,"COMPUTERVISION &lt;CVN> UNVEILS NEW DESIGN GEAR","none",0,Neutral
530,"NORTHERN STATES POWER CO &lt;NSP> VOTES QUARTERLY","none",0,Neutral
531,"SUMMIT TAX EXEMPT BOND FUND &lt;SUA> SETS PAYOUT","none",0,Neutral
532,"U.S. SENATE TRADE LEADER CONCERNED ABOUT CANADA","concerned(-)",-1,Negative
533,"TREASURY'S BAKER SAYS NEW MONEY NOT DEBT PANACEA","debt(-)",-1,Negative
534,"BAKER SAYS U.S. WILLING TO COOPERATE TO STABILIZE EXCHANGE RATES","willing(+) | stabilize(+)",2,Positive
535,"BAKER SAYS U.S. WANTS TO STABILIZE EXCHANGE RATES","stabilize(+)",1,Positive
536,"JUSTICE, DOT BACK AIRLINE ANTITRUST SWITCH","none",0,Neutral
537,"U.S. GOVERNMENT EXPANDS CRACKDOWN ON BAD DEBTS","debts(-) | bad(-)",-2,Negative
538,"FIRST FEDERAL DELAWARE AGREEMENT EXTENDED","none",0,Neutral
539,"EDELMAN GROUP IN PLAN TO BUY MORSE SHOE &lt;MRS>","none",0,Neutral
540,"PHILIP MORRIS' &lt;MO> OSCAR MAYER SETS REDEMPTION","redemption(+)",1,Positive
541,"U.S  AUTO AGENCY GRANTS FORD &lt;F> AIR BAG REQUEST","none",0,Neutral
542,"MERCK &lt;MRK> GETS FDA HEARTWORM MEDICINE APPROVAL","approval(+)",1,Positive
543,"JOHN LABATT SEES GOOD FOURTH QUARTER, YEAR","good(+)",1,Positive
544,"HUSKY &lt;HYO> SETS MEETING TO APPROVE MERGER","approve(+)",1,Positive
545,"BALTIMORE GAS AND ELECTRIC &lt;BGE> FILES DEBT","debt(-)",-1,Negative
546,"MERCK &lt;MRK> GETS APPROVAL FOR DOG HEART DRUG","approval(+)",1,Positive
547,"WASHINGTON GAS LIGHT CO &lt;WGL> HIKES PAYOUT","none",0,Neutral
548,"ZENITH &lt;ZE> NAMES NEW FINANCIAL OFFICER","zenith(+)",1,Positive
549,"FERC DECISION COULD CUT COLUMBIA GAS &lt;CG> NET","none",0,Neutral
550,"U.S. OFFERS MORE CREDITS FOR VEG OIL TO N. YEMEN","none",0,Neutral
551,"PUERTO RICAN CEMENT CO &lt;PRN> SETS PAYOUT","none",0,Neutral
552,"U.S. SHOE &lt;USR> TO OPEN 421 STORES IN 1987","none",0,Neutral
553,"BARRIS &lt;BRRS> TO BUY BACK STOCK","none",0,Neutral
554,"CANADA MAY MONITOR STEEL SHIPMENTS","none",0,Neutral
555,"MEXICO SIGNS 100 MLN DLR IADB TOURISM LOAN","none",0,Neutral
556,"WESCO FINANCIAL CORP &lt;WSC> 4TH QTR NET","none",0,Neutral
557,"HELM &lt;H> SELLS ADDITIONAL SHARES IN BAMBERGER","none",0,Neutral
558,"AMPAL-AMERICAN ISRAEL CORP &lt;AIS.A> YEAR NET","none",0,Neutral
559,"COCOA COUNCIL CHAIRMAN SEEKS BUFFER COMPROMISE","none",0,Neutral
560,"SNC GROUP EXPECTS HIGHER 1987 EARNINGS, SALES","none",0,Neutral
561,"MINE SAFETY &lt;MNES> SELLS SOUTH AFRICA UNIT","none",0,Neutral
562,"MEDAR INC &lt;MDXR> 4TH QTR DEC 31 LOSS","loss(-)",-1,Negative
563,"MEDAR &lt;MDXR> CHANGES FISCAL YEAR","none",0,Neutral
564,"EPSILON DATA &lt;EPSI> GETS NEW CREDIT AGREEMENT","none",0,Neutral
565,"U.S. SECURITIES INDUSTRY ASSN BACKS RESTRAINTS ON TAKEOVERS, INSIDER TRADING","none",0,Neutral
566,"CHEMFIX TECHNOLOGIES INC &lt;CFIX> 2ND QTR NET","none",0,Neutral
567,"ALABAMA UPGRADED IN BRUCELLOSIS PROGRAM","upgraded(+)",1,Positive
568,"HELM &lt;H> AFFILIATE SELLS SYSTEM","none",0,Neutral
569,"FEDERAL PAPER &lt;FBO> OFFERS PREFERENTIAL SHARES","none",0,Neutral
570,"ALLIS-CHALMERS &lt;AH> SELLS SWISS UNIT","none",0,Neutral
571,"MONARCH CAPITAL &lt;MON PR> WILL NOT RESUME TRADING","none",0,Neutral
572,"FLORIDA EMPLOYERS INSURANCE CO &lt;FLAE> YEAR 1986","none",0,Neutral
573,"SHELL OIL GETS 104.3 MLN DLR CONTRACT","none",0,Neutral
574,"U.S. 4-YEAR NOTE AVERAGE YIELD 6.79 PCT, STOP 6.79 PCT, AWARDED AT HIGH YIELD 95 PCT","awarded(+)",1,Positive
575,"DETROIT EDISON FILES SHELF REGISTRATION FOR ONE BILLION DLRS IN BONDS","none",0,Neutral
576,"NIKE INC &lt;NIKE> 3RD QTR FEB 28 NET","none",0,Neutral
577,"ZENITH NATIONAL INSURANCE &lt;ZNAT> QTLY DIVIDEND","zenith(+)",1,Positive
578,"REDKIN LABORATORIES INC &lt;RDKN> QTLY DIVIDEND","none",0,Neutral
579,"INT'L MINERALS &lt;IGL> PLANS BIOTECHNOLOGY PROJECT","none",0,Neutral
580,"COOPERVISION INC &lt;EYE> QTLY DIVIDEND","none",0,Neutral
581,"UAL &lt;UAL> SURROUNDED BY TAKEOVER SPECULATION","none",0,Neutral
582,"U.S. SECURITIES GROUP BACKS INSIDER RESTRAINTS","none",0,Neutral
583,"TEXACO &lt;TX> RESERVES DOWN DESPITE LOWER OUTPUT","none",0,Neutral
584,"SIX REPORTED WOUNDED IN ECUADOR GENERAL STRIKE","strike(-)",-1,Negative
585,"INT'L MINERALS PROJECT TO BOOST HOG LEAN WEIGHT","lean(+) | boost(+)",2,Positive
586,"LOMAC TO PAY 17 MLN DLRS TO CLEAN SITE IN FIRST SUPERFUND-2 SETTLEMENT","clean(+)",1,Positive
587,"PULITZER PUBLISHING CO &lt;PLTZC> DECLARES QTLY DIV","none",0,Neutral
